index	ID	split	label	tweet_clean	tweet_raw_len	tweet_clean_len
0	1311981051720409089	train	ineffective	[USER] They have no idea, they cant control the Flu with vaccine so what makes them think they can control covid 19 because all flu seems to have a variant of covid in it as do most infectious diseases including Ebola!!!!	41	41
1	1361403925845401601	train	unnecessary	[USER] Nvm I’ve had covid I’ve got enough antibodies to see me through you can keep your judgey vaccine	19	19
2	1293488278361055233	train	pharma	Coronavirus updates: Government partners with Moderna to make 100M vaccine doses [URL] Why are we paying Billions of Dollars to Modrna for thes vaccines when we don't even know if they will work. Isn't this putting the cart before the horse??? Sounds fishy.	43	43
3	1305252218526990338	train	rushed	[USER] U.K. Glaxo Smith Klein whistleblower who has found antigens in the upcoming Covid vaccine that cause sterility in 97% of the animals tested. [URL]	25	25
4	1376135683400687618	train	ineffective,pharma	"3/ horse"" AstraZeneca, not so much for the reduced effectiveness of the vaccine, if compared to others (this is an incontrovertible fact, the numbers never lie), but how much and above all for the dishonest behavior of the company in the distribution of the vaccine: contracts are"	47	47
5	1351207409071640578	train	side-effect	After a video of his mother’s condition went viral, the son of a woman who was hospitalized after receiving Pfizer’s Covid jab told RT that, even though he was not an anti-vaxxer, he had serious doubts about the drug’s safety.	40	40
6	1354543537078095880	train	ineffective,rushed	[USER] [USER] One dose of the least efficacious vaccine to the most vulnerable in most cases. The rush to be first and drape everything in the flag may well have led to poor and risky decision making. Johnson's risk appetite is huge, as a narcissist he doesn't care about the outcome, or people	53	53
7	1335249891807932417	train	mandatory	Please read through [USER] ’s thread on the COVID vaccine being pushed to front line workers in Arkansas. I’m not disagreeing with the vaccine - but against mandatory vaccination.	28	29
8	1298704879150653440	train	country	[USER] I wouldnt take it if the vaccine is russian. I cant trust those homophobics and their history of failures in every single thing they attempt.	26	26
9	1364590447214145537	train	ineffective	We're told that we have to be overly cautious, in case the vaccine does not offer enough protection or in case of (highly unlikely) vaccine evading variants etc. However, if the vaccine isn't the way out of this, what is plan B [USER] ? Lockdown forever?	45	46
10	1407341885052669960	train	side-effect	Sen. Johnson: Democrat media suppress information about more than 5,000 vaccine deaths - [URL]	14	14
11	1354844941168619524	train	ingredients	[USER] [USER] About the disputed efficacy of the AZ vaccine, see here [URL] About the derivation of these vaccines from aborted baby parts, see this video interview (and transcrip) with a virus & vaccine expert: [URL]	36	36
12	1410873702523150336	train	side-effect	"[USER] Meanwhile the clots say ""The final details of that will be released within the coming week"" For 2 months I have believed we should have a no-fault compensation for properly diagnosed AstraZeneca vaccine induced clots."	36	36
13	1385549673214132230	train	rushed	[USER] [USER] [USER] [USER] ‘People’ ,not kids! Surely you protect your kids from things that might harm them? No data to suggest Covid does. The vaccine isn’t even approved for them yet & potential long term side effects are not known Kids are not getting sick or dying from Covid!	50	50
14	1376993890377547779	train	unnecessary,rushed,side-effect	[USER] [USER] You assume no long term effects from this experimental vaccine. And if the risk of covid is about the same as the flu for young people (or less) why is it so urgent for young people to get this shot but it wasn't urgent for the flu? Vulnerable people have the vax and are safe.	57	57
15	1349576125454852097	train	unnecessary,pharma	[USER] [USER] can keep his vaccine syringe I’ll take covid with its “ non existent “ symptoms over some big pharma no liability or indemnity lab test tube cooked vaccine thank you.	31	32
16	1280532929790259208	train	pharma	And taxpayers just gave $1.6 billion to Novavax, a company that has brought nothing to market, the LARGEST covid vaccine contract. And best believe they will still charge for it.	30	30
17	1374399606121844741	train	rushed	[USER] Good grief. Between the flawed trials we heard about earlier, and now this, AstraZeneca is putting on a masterclass in What Not To Do. They probably have a decent vaccine, but who can trust it when they keep getting sloppy and/or messing with the data?	46	46
18	1337572148584570880	train	side-effect,ingredients	"[USER] Dr. Mikovits warned Months ago that HIV had been added to the CV vaccs. Now, after taking the Pfizer CV Vacc, volunteers are having,"" False Positive HIV"",test results..Uh huh...sure they are False +...She warned us!!"	36	36
19	1340312194215538688	train	side-effect	The FDA is investigating allergic reactions to the Pfizer vaccine reported in multiple states. I have two daughters who are RN’s, and both of them told me they do not intend to take it. #NorDoI! [URL]	36	36
20	1364570906828308488	train	ineffective	J&J vax not much better (66%) than the Astra-Zeneca for preventing any COVID infection including moderate, and maybe inferior in terms of preventing severe illness (85%). [URL]	27	27
21	1365406361874530306	train	unnecessary,political	[USER] [USER] I'm a flat earth anti vaxxer. I couldn't give a toss about the Queen, though. I see the brainwashed government lovers getting upset that the open minded, critical thinkers are able to voice their opinions (reasonable and widely shared).	41	41
22	1090704386450432001	train	mandatory	[USER] [USER] So, you are going to turn those who actually have serious allergies to vaccine components into social lepers? Not all unvaccinated people are by choice. Since 'undocumented immigrants' are also often undocumented in terms of their vaccinations, I assume you're including them.	44	44
23	1352907522831605760	train	none	[USER] Vaccine related??? I am beginning to think the elderly should not have at all.	15	15
24	1404410898429714434	train	side-effect	AstraZeneca's COVID Jab Should Be Halted For People Over 60: EMA | ZeroHedge EMA safety committee on Friday said that capillary leak syndrome is a new side effect after taking AstraZeneca's vaccine [URL]	33	33
25	1293301922041077763	train	rushed	Yeah I’m not taking a rushed vaccine until we see how many people it kills. I am fine staying in my house away from people #RussianVaccine	26	26
26	1292920028996739079	train	pharma,conspiracy	[USER] bill gates it goingnto put it back in with his corona virus vaccine nice try	16	16
27	1299927859583049730	train	unnecessary	[USER] rainbow Sweden banned the use of masks when Covid started “unless you had a note from a doctor stating you had Covid-19.” No kids died. Only people over 70 w obesity or other deadly disease died. red heart Sweden proved vaccines are unnecessary. red heart Write-in Paul Kangas 4 President.	47	51
28	1350170207864696835	train	side-effect	Covid vaccine horror as 23 people suddenly DIE after Pfizer jab after ‘side effects’ | World | News [URL]	19	19
29	1364802426587344897	train	ineffective	[USER] [USER] [USER] [USER] You do know that after being vaccinated, you can still be a carrier just like the person that didn’t get vaccinated, so why should they be restrained and not you? You being vaccinated doesn’t protect others from catching Covid from you man shrugging medium-dark skin tone	45	50
30	1341591707171827712	train	side-effect	"So 3,150 out 112,807 people who rec'd vaccine or 2.8% were ""incapacitated"" after 1st shot (i.e., unable to perform normal daily activities, unable to work, required care from doctor or health care professional). How does that compare to COVID death rate of people <60 yrs old?"	46	46
